lead_id,lead_indicator,date_part,source,domain,country,customer_group,onboarding,customer_code,visited_learn_more_before_booking,visited_faq,purchases,time_spent,n_visits,bin_source
0,0.0,2024-01-24,organic,.dk,US,2,True,None,0.624305388187881,0.7643021390664934,0.49877719203608895,0.8750108044553859,0.38027434088205175,group1
2,1.0,2024-01-27,signup,.dk,DK,5,False,STWPXVNOWA,0.5462672146643959,0.7643021390664934,0.27596072692218554,0.5095074604926877,0.7130143891538471,group1
3,1.0,2024-01-28,li,.cn,US,4,True,HZOKZERLZD,0.7803817352348512,0.7643021390664934,0.38736895947913724,0.4618621492629371,0.7130143891538471,socials
4,0.0,2024-01-05,fb,.com,US,9,False,CVLIHCAPZN,0.3901908676174256,0.07643021390664934,0.49877719203608895,0.5476484602246279,0.04753429261025647,socials
5,0.0,2024-01-09,fb,.dk,CN,1,True,UZIKGEBJHZ,0.23411452057045534,0.458581283439896,0.053144261808282196,0.7338667095982876,0.09506858522051295,socials
6,0.0,2024-01-12,li,.dk,DK,2,True,IFNHUGEULO,0.23411452057045534,0.8407323529731427,0.1645524943652339,0.28265860740542514,0.04753429261025647,socials
7,1.0,2024-01-09,li,.com,DK,3,False,KZECUKQTDO,0.23411452057045534,0.0,0.1645524943652339,0.590570863571362,0.7130143891538471,socials
8,1.0,2024-01-18,organic,.dk,US,8,True,DESWCPDDNA,0.0,1.0,0.833001889706944,0.4734783033300527,0.5704115113230777,group1
9,1.0,2024-01-23,organic,.dk,DK,5,True,ZUOMBTHDOK,0.07803817352348512,0.0,0.38736895947913724,0.4477537498036006,0.4753429261025646,group1
10,0.0,2024-01-11,signup,.dk,DK,4,True,JWLXPVANUM,0.0,0.687871925159844,0.833001889706944,0.6454121712765764,0.14260287783076941,group1
12,1.0,2024-01-19,organic,.dk,CN,3,False,DCPRVJRRCO,0.0,0.0,0.38736895947913724,0.7772046444500975,0.6179458039333341,group1
13,0.0,2024-01-22,signup,.dk,DK,6,True,WNKCTHUHYI,0.0,0.3821510695332467,0.6101854245930406,0.1649032092515248,0.19013717044102588,group1
14,0.0,2024-01-25,fb,.com,CN,5,False,ONSZGMJHBQ,1.0,0.0,0.38736895947913724,0.0,0.09506858522051295,socials
15,0.0,2024-01-10,organic,.com,DK,3,True,YGTBRBGUBZ,0.0,0.7643021390664934,0.833001889706944,0.521207062496932,0.2852057556615388,group1
16,0.0,2024-01-02,fb,.cn,CN,5,True,TFWWHDORPL,0.15607634704697024,0.229290641719948,0.38736895947913724,0.36409502299229146,0.14260287783076941,socials
17,1.0,2024-01-07,signup,.com,US,8,False,INIQMTGGOO,0.15607634704697024,0.229290641719948,0.49877719203608895,0.671792085855119,0.33274004827179526,group1
18,0.0,2024-01-31,li,.com,CN,9,False,OEQZTOIAYB,0.3901908676174256,0.3821510695332467,0.27596072692218554,0.18923983842515923,0.09506858522051295,socials
19,0.0,2024-01-20,signup,.cn,US,9,True,SJGDAANOYJ,0.0,0.0,0.27596072692218554,0.3640729286194224,0.9031515595948729,group1
20,1.0,2024-01-02,li,.dk,CN,1,True,BNZFSZGFAG,0.15607634704697024,0.229290641719948,0.6101854245930406,0.004009351720066778,0.7130143891538471,socials
21,0.0,2024-01-19,li,.com,DK,7,True,USWVYZUYXP,0.5462672146643959,0.3821510695332467,0.27596072692218554,0.3240065600071822,0.14260287783076941,socials
22,0.0,2024-01-06,signup,.com,DK,3,True,SPWNMQUWDX,0.9364580822818214,0.3821510695332467,0.49877719203608895,0.0780321901269625,0.04753429261025647,group1
23,0.0,2024-01-10,li,.cn,US,2,True,MLJSQLJSKJ,0.15607634704697024,0.6114417112531947,0.6101854245930406,0.20132091620390336,0.38027434088205175,socials
24,0.0,2024-01-09,fb,.com,US,5,False,QXZOZPIDPQ,0.07803817352348512,0.0,0.6101854245930406,0.3259599631309631,0.09506858522051295,socials
25,1.0,2024-01-08,organic,.com,DK,6,False,ULUTUIKRRI,0.8584199087583363,0.0,0.49877719203608895,0.2716827792683869,0.23767146305128237,group1
26,0.0,2024-01-26,organic,.dk,CN,4,True,NWZESUDMLK,0.07803817352348512,0.15286042781329867,0.27596072692218554,0.39842212305529134,0.09506858522051295,group1
27,1.0,2024-01-30,signup,.cn,US,1,True,IAPSPPLUZL,0.07803817352348512,0.30572085562659734,0.1645524943652339,0.7982690960138501,0.6654800965435906,group1
28,1.0,2024-01-11,signup,.dk,DK,8,True,EDWMENKILD,0.15607634704697024,0.0,0.27596072692218554,0.0,0.9982201448153858,group1
29,0.0,2024-01-09,signup,.dk,CN,3,False,DNGAQVVEDN,0.0,0.30572085562659734,0.6101854245930406,0.8647141670074499,0.0,group1
30,1.0,2024-01-20,signup,.dk,DK,4,False,WSQVNMPZOH,0.0,0.07643021390664934,0.49877719203608895,0.9833996230239084,0.23767146305128237,group1
31,0.0,2024-01-28,fb,.cn,DK,1,True,FXVKWIERCX,0.15607634704697024,0.458581283439896,0.1645524943652339,0.7643120492913296,0.2852057556615388,socials
32,0.0,2024-01-20,signup,.com,CN,9,False,GKIHITQJGU,0.23411452057045534,0.07643021390664934,0.38736895947913724,0.16465297996178174,0.2852057556615388,group1
33,1.0,2024-01-31,signup,.dk,CN,4,True,QOVDCTYYGT,0.5462672146643959,0.0,0.49877719203608895,0.9134888591330608,0.5228772187128212,group1
